mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
5,2,4,,1,1,400,700,10,3,2
3,1,1,,1,1,400,200,4,3,2
3,2,1,,1,1,100,9999,4,3,2
1,1,2,,1,1,304,0,7,1,1
2,2,2,,1,1,400,700,7,1,1
1,1,1,,1,1,600,200,7,1,2
1,2,1,,1,1,600,500,8,1,2
3,1,1,,1,1,304,0,5,9,1
2,1,1,,1,1,304,0,6,1,1
1,2,1,,1,1,600,100,6,1,1
1,2,1,,1,1,400,800,5,3,1
1,2,4,,1,1,400,700,11,3,1
2,1,4,,1,1,100,9999,10,9,2
4,2,3,,1,1,100,9999,18,9,2
1,1,1,,1,1,600,460,7,1,2
1,2,1,,1,1,600,100,7,1,2
1,1,3,,1,1,600,300,12,3,2
2,2,1,,1,1,600,700,5,3,2
2,1,1,,1,1,600,600,6,3,2
7,2,2,,1,1,304,0,13,2,2
1,1,2,,1,1,700,100,12,2,2
5,1,1,,1,1,0,9999,5,2,2
4,1,3,,1,1,100,9999,15,9,1
1,2,1,,1,1,400,700,8,3,1
9,1,1,,1,1,999,9999,1,3,1
1,1,2,,1,1,400,500,9,2,1
1,2,2,,1,1,500,300,9,2,1
9,1,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,2,2,1
1,2,2,,1,1,400,300,8,2,2
1,1,2,,1,1,100,9999,8,2,2
3,2,1,,1,1,200,9999,4,2,2
3,1,1,,1,1,100,9999,4,2,2
4,1,2,,1,1,400,600,15,1,2
7,2,2,,1,1,304,0,14,1,2
1,1,2,,1,1,500,200,8,2,2
7,2,2,,1,1,500,700,8,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,304,0,11,2,2
1,2,2,,1,1,500,900,10,2,2
3,2,1,,1,1,304,0,5,2,2
3,2,1,,1,1,200,9999,4,2,2
9,1,1,,1,1,999,9999,2,2,2
7,2,3,,1,1,100,9999,15,9,2
1,2,4,,1,1,400,200,10,9,1
7,2,2,,1,1,200,9999,12,2,1
4,1,2,,1,1,100,9999,14,2,1
3,1,1,,1,1,304,0,4,2,1
1,1,4,,1,1,200,9999,13,2,2
1,2,4,,1,1,100,9999,11,2,2
1,1,1,,1,1,304,0,4,2,2
2,1,2,,1,1,600,300,8,2,2
7,2,2,,1,1,600,700,8,2,2
9,1,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
2,1,1,,6,6,400,700,5,3,2
9,1,1,,1,1,999,9999,1,3,2
1,1,2,,1,1,700,300,8,1,2
1,2,2,,1,1,700,300,8,1,2
1,1,1,,1,1,100,9999,10,9,2
1,2,1,,1,1,,9999,10,9,2
7,2,2,,1,1,304,0,9,2,2
1,1,2,,1,1,304,0,9,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,500,600,11,1,2
1,1,2,,1,1,600,200,10,1,2
4,2,2,,1,1,100,9999,14,1,1
4,1,2,,1,1,100,9999,14,1,1
4,1,4,,1,1,600,300,15,9,2
1,2,2,,1,1,400,300,12,1,1
4,1,2,,1,1,200,9999,13,1,1
7,2,1,,1,1,100,9999,14,9,1
4,1,1,,1,1,100,9999,17,9,1
7,2,3,,1,1,400,300,12,9,1
1,1,2,,1,1,304,0,12,2,2
1,2,2,,1,1,0,9999,12,2,2
3,2,1,,1,1,200,9999,4,2,2
3,1,1,,1,1,200,9999,4,2,2
9,1,1,,1,1,999,9999,3,2,2
1,1,2,,6,6,500,300,7,1,2
1,2,2,,3,3,500,300,6,1,2
1,1,1,,1,1,304,0,8,9,1
7,2,3,,1,1,0,9999,18,9,1
7,2,2,,1,1,100,9999,13,1,2
5,1,2,,1,1,200,9999,13,1,2
4,1,2,,1,1,200,9999,17,1,2
4,2,2,,1,1,600,100,16,1,2
7,2,2,,1,1,304,0,9,2,1
2,1,2,,1,1,200,9999,10,2,1
3,2,1,,1,1,304,0,4,2,1
9,2,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,2,2,1
1,1,2,,1,1,600,500,10,2,2
1,2,2,,1,1,600,200,10,2,2
3,2,1,,1,1,100,9999,4,2,2
9,1,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
1,1,1,,3,3,500,300,9,9,2
1,2,1,,3,3,,9999,8,9,2
1,1,2,,1,1,700,482,8,2,1
1,2,2,,1,1,500,300,8,2,1
9,1,1,,1,1,999,9999,1,2,1
9,2,1,,1,1,999,9999,1,2,1
4,1,4,,1,1,0,9999,17,9,2
4,1,1,,1,1,100,9999,18,9,1
1,2,2,,1,1,600,481,10,2,2
1,1,2,,1,1,304,0,10,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
1,1,2,,1,1,600,500,9,2,1
1,2,2,,1,1,800,700,8,2,1
9,1,1,,1,1,999,9999,1,2,1
7,2,3,,2,2,200,9999,17,9,2
1,2,2,,1,1,500,800,8,2,2
1,1,2,,1,1,500,800,8,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,304,0,11,2,1
1,2,2,,1,1,304,0,10,2,1
3,1,1,,1,1,304,0,5,2,1
1,1,2,,1,1,700,700,12,2,2
1,2,2,,1,1,600,100,11,2,2
1,1,1,,1,1,600,900,6,2,2
3,1,1,,1,1,400,700,5,2,2
3,1,1,,1,1,200,9999,4,2,2
7,2,3,,1,1,100,9999,18,3,2
1,1,1,,1,1,200,9999,11,3,2
5,1,1,,1,1,0,9999,11,3,2
5,1,1,,1,1,0,9999,11,3,2
1,1,2,,1,1,700,300,10,2,2
1,2,2,,1,1,600,300,9,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,1,2,2
4,1,2,,1,1,600,,14,2,2
1,2,2,,1,1,304,0,13,2,2
1,1,1,,1,1,700,300,6,2,2
2,2,1,,1,1,400,300,13,9,2
4,1,2,,1,1,304,0,14,1,2
7,2,2,,1,1,304,0,14,1,2
9,2,1,,1,1,999,9999,3,9,1
5,2,4,,1,1,400,300,13,3,1
2,2,1,,1,1,600,481,7,3,1
2,1,1,,1,1,304,0,6,3,1
7,2,2,,1,1,400,300,15,1,1
4,1,2,,1,1,200,9999,15,1,1
7,2,1,,1,1,304,0,7,2,1
2,1,1,,1,1,400,500,7,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
1,2,2,,1,1,500,300,9,9,2
1,1,2,,1,1,600,300,12,1,2
1,2,2,,1,1,600,100,11,1,2
1,1,2,,2,2,600,500,13,2,1
1,2,2,,2,2,600,420,13,2,1
1,2,1,,1,1,600,300,6,2,1
4,1,2,,1,1,100,9999,18,1,2
7,2,2,,1,1,100,9999,16,1,2
1,2,2,,1,1,400,800,8,2,1
1,1,2,,1,1,304,0,8,2,1
9,2,1,,1,1,999,9999,1,2,1
9,2,1,,1,1,999,9999,1,2,1
1,2,1,,1,1,400,300,11,9,2
3,2,1,,1,1,300,0,7,3,2
9,2,1,,1,1,999,9999,3,3,2
9,2,1,,1,1,999,9999,2,3,2
1,2,1,,1,1,304,0,9,3,2
2,1,1,,1,1,200,9999,6,3,2
2,1,1,,1,1,304,0,5,3,2
1,2,1,,1,1,304,0,5,3,2
4,1,2,,1,1,200,9999,16,1,2
4,2,2,,1,1,304,0,14,1,2
7,2,1,,4,4,304,0,6,1,2
1,1,1,,6,6,304,0,6,1,2
1,2,1,,1,1,304,0,6,9,2
1,1,1,,1,1,304,0,6,1,2
1,2,1,,1,1,400,700,6,1,2
7,2,2,,1,1,500,800,9,2,2
1,1,2,,1,1,304,0,10,2,2
9,1,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
7,2,1,,1,1,304,0,7,2,2
2,1,1,,2,2,304,0,7,2,2
9,2,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,1,,1,1,400,800,8,9,2
1,2,2,,1,1,500,700,10,2,1
1,1,2,,1,1,600,500,10,2,1
3,2,1,,1,1,200,9999,4,2,1
9,2,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,3,2,1
7,2,2,,1,1,100,9999,7,2,2
2,1,2,,1,1,,9999,8,2,2
9,1,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
5,2,4,,1,1,100,9999,10,9,2
4,1,2,,1,1,100,9999,17,1,2
7,2,2,,1,1,100,9999,16,1,2
1,2,1,,1,1,600,300,7,1,2
1,1,1,,1,1,700,500,8,1,2
4,2,1,,1,1,600,100,17,9,2
5,1,4,,1,1,400,500,13,2,2
7,2,1,,1,1,500,700,7,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,600,300,8,2,2
1,1,2,,1,1,700,300,8,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,600,600,12,2,2
1,1,2,,1,1,700,600,12,2,2
3,2,1,,1,1,200,9999,4,2,2
1,2,2,,1,1,700,100,12,1,2
1,1,2,,1,1,700,420,12,1,2
1,2,2,,1,1,304,0,7,2,1
1,1,2,,1,1,304,0,8,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,1,2,1
7,2,2,,1,1,304,0,14,1,2
5,1,2,,1,1,304,0,14,1,2
1,2,2,,1,1,500,500,8,2,2
1,1,2,,1,1,600,500,9,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,400,600,13,1,1
1,2,2,,1,1,304,0,13,1,1
1,2,3,,2,2,100,9999,15,9,2
3,2,1,,1,1,200,9999,4,1,2
1,1,1,,1,1,304,0,5,1,2
2,2,2,,1,1,304,0,9,2,2
2,1,2,,1,1,400,500,9,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
1,1,2,,4,4,500,100,7,2,2
1,2,2,,4,4,500,300,7,2,2
9,1,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,1,,1,1,400,,6,9,2
7,2,2,,1,1,400,800,8,2,2
1,1,2,,1,1,400,500,8,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,300,11,2,2
1,2,2,,1,1,400,700,11,2,2
3,1,1,,1,1,304,0,5,2,2
3,1,1,,1,1,304,0,5,2,2
3,2,1,,1,1,200,9999,4,2,2
2,1,4,,4,4,400,200,10,1,2
2,2,1,,4,4,,9999,5,1,2
1,1,2,,1,1,,9999,11,2,2
1,2,2,,1,1,,9999,11,2,2
1,1,1,,1,1,,9999,6,2,2
1,1,1,,1,1,,9999,5,2,2
3,1,1,,1,1,200,9999,4,2,2
1,1,1,,1,1,304,0,6,1,2
1,2,1,,1,1,600,300,5,1,2
1,1,1,,1,1,304,0,4,2,2
1,2,2,,1,1,200,9999,10,2,2
1,1,2,,1,1,200,9999,10,2,2
1,1,2,,2,2,500,700,10,2,2
1,2,2,,1,1,304,0,9,2,2
9,1,1,,1,1,999,9999,1,2,2
